DateTime,AddedIPs,RemovedIPs
1536744316,14,15
1536746233,15,30
1536748130,9,26
1536750083,10,14
1536751959,9,18
1536753876,10,12
1536755801,14,17
1536757715,10,16
1536759628,15,12
1536761560,13,30
1536763496,12,8
1536765380,23,12
1536767313,14,33
1536769257,10,12
1536771167,10,20
1536773085,14,14
1536774987,7,17
1536776928,9,26
1536778898,20,20
1536780766,17,12
1536782685,8,13
1536784580,12,11
1536786533,18,10
1536788441,6,16
1536790350,7,29
1536792261,14,10
1536794245,7,16
1536796101,10,24
1536798049,7,18
1536799968,11,9
1536801900,8,20
1536803789,8,9
1536805710,8,8
1536807696,4,17
1536809569,8,13
1536811475,8,14
1536813412,8,8
1536815337,13,16
1536817248,4,7
1536819173,7,8
1536821094,14,13
1536823242,16,13
1536825166,6,14
1536827102,8,5
1536829010,11,18
1536831151,12,14
1536833058,10,13
1536834982,13,13
1536836917,11,8
1536839083,12,10
1536841028,11,9
1536842912,19,17
1536844836,13,12
1536846785,6,12
1536848674,12,8
1536850592,12,16
1536852507,9,22
1536854491,10,15
1536856365,6,6
1536858331,14,16
1536860213,9,12
1536862116,9,10
1536864030,5,13
1536865959,7,23
1536867891,11,10
1536869804,11,11
1536871974,12,16
1536873869,11,13
1536875803,7,8
1536877710,11,10
1536879707,4,9
1536881545,8,8
1536883502,14,8
1536885428,15,9
1536887345,8,8
1536889257,7,9
1536891164,8,7
1536893065,10,6
1536895037,13,6
1536896910,8,7
1536898865,8,9
1536900755,9,9
1536902693,13,9
1536904603,16,4
1536906536,10,11
1536908494,10,14
1536910630,10,12
1536912561,13,6
1536914478,8,11
1536916370,5,11
1536918292,10,9
1536920235,12,11
1536922109,9,11
1536924079,9,11
1536925961,13,14
1536928138,16,17
1536930103,14,12
1536931975,15,7
1536933881,7,9
1536935783,12,12
1536937751,10,7
1536939902,34,11
1536941812,13,12
1536943727,15,10
1536945652,7,10
1536947574,8,12
1536949485,34,4
1536951403,5,9
1536953340,9,12
1536955289,13,5
1536957168,6,14
1536959100,24,8
1536961025,9,13
1536962933,9,7
1536964878,10,9
1536967032,6,8
1536968906,3,7
1536970858,9,18
1536972774,13,8
1536974699,10,12
1536976581,8,6
1536978509,8,9
1536980515,9,10
1536982379,9,11
1536984342,14,8
1536986193,13,8
1536988138,10,12
1536990063,16,13
1536992224,7,15
1536994363,8,10
1536996523,13,11
1536998504,13,13
1537000373,9,10
1537002293,8,8
1537004225,16,8
1537006133,9,13
1537008057,7,11
1537009966,13,7
1537011887,10,12
1537013849,8,18
1537015982,9,16
1537017886,9,15
1537019812,15,9
1537021717,12,12
1537023703,9,9
1537025566,10,29
1537027556,12,14
1537029650,6,21
1537031597,15,5
1537033478,14,9
1537035435,9,34
1537037305,8,6
1537039263,8,11
1537041177,10,10
1537043090,6,6
1537044987,10,24
1537046948,12,11
1537048940,8,9
1537050783,10,7
1537052687,9,9
1537054635,13,3
1537056548,12,9
1537058457,13,10
1537060358,8,12
1537062296,10,8
1537064207,13,10
1537066117,11,6
1537068052,6,12
1537069957,7,14
1537071893,18,9
1537073785,8,15
1537075740,10,10
1537077701,9,8
1537079576,8,7
1537081533,13,9
1537083532,16,13
1537085350,15,8
1537087248,11,11
1537089171,5,11
1537091359,9,15
1537093264,15,7
1537095155,10,12
1537097098,6,8
1537098999,12,9
1537100940,12,8
1537102891,9,9
1537104791,8,12
1537106714,14,15
1537108635,13,11
1537110549,4,8
1537112459,7,11
1537114409,17,12
1537116288,10,7
1537118215,11,14
1537120359,12,15
1537122262,8,10
1537124519,12,12
1537126361,8,4
1537128334,14,9
1537130193,9,7
1537132130,7,15
1537134033,7,8
1537136215,10,12
1537138136,8,4
1537140047,7,12
1537142198,10,17
1537144116,6,12
1537146101,12,10
1537147959,7,8
1537149884,10,12
1537151833,9,13
1537153965,10,10
1537155917,11,4
1537157803,10,16
1537159737,9,12
1537161647,5,10
1537163587,10,9
1537165485,9,7
1537167411,9,10
1537169312,12,11
1537171297,12,20
1537173174,6,13
1537175101,8,3
1537177002,10,11
1537178941,11,12
1537180854,9,12
1537182776,11,8
1537184681,12,8
1537186626,15,14
1537188539,19,10
1537190462,33,10
1537192365,13,8
1537194554,16,13
1537196695,14,10
1537198604,15,4
1537200571,28,18
1537202565,22,10
1537204848,12,17
1537206762,10,10
1537208658,22,9
1537210601,14,13
1537212548,8,6
1537214500,12,15
1537216370,11,9
1537218273,7,7
1537220216,12,8
1537222130,13,9
1537224291,12,6
1537226217,8,10
1537228135,9,7
1537230580,13,10
1537232474,12,11
1537234354,9,6
1537236283,11,10
1537238178,11,6
1537240131,13,14
1537242051,8,9
1537243949,10,8
1537245861,13,11
1537247807,9,4
1537249697,10,7
1537251635,9,11
1537253564,8,10
1537255478,7,12
1537257400,13,10
1537259319,9,9
1537261303,11,6
1537263173,10,12
1537265130,18,10
1537266977,17,11
1537268940,9,9
1537271085,19,16
1537273012,14,15
1537275161,14,20
1537277075,17,35
1537279008,19,12
1537281158,18,15
1537283061,20,11
1537285256,17,17
1537287930,30,37
1537290127,12,19
1537291979,19,12
1537293920,12,9
1537295791,11,23
1537297725,13,12
1537299623,14,8
1537301567,12,13
1537303494,14,10
1537305390,8,7
1537307312,20,13
1537309253,12,9
1537311168,20,11
1537313089,11,6
1537314991,16,6
1537317169,16,13
1537319076,11,12
1537320981,17,9
1537322926,22,11
1537324855,12,11
1537326750,15,11
1537328667,16,5
1537330608,14,13
1537332505,16,9
1537334439,14,10
1537336352,15,13
1537338282,15,9
1537340213,12,6
1537342375,19,10
1537344269,7,9
1537346075,15,11
1537347884,18,11
1537349794,9,11
1537351735,19,16
