DateTime,AddedIPs,RemovedIPs
1536914474,0,2
1536916368,2,0
1536918288,2,1
1536920233,0,2
1536922107,0,2
1536925959,2,0
1536931973,0,2
1536933878,1,1
1536935781,0,2
1536937749,0,2
1536939900,0,1
1536945648,1,0
1536947572,0,1
1536949484,3,1
1536951401,0,1
1536955286,1,0
1536957165,0,2
1536959096,0,1
1536961023,1,0
1536962923,1,0
1536967030,1,0
1536970856,2,0
1536972772,1,1
1536974697,1,1
1536976579,2,1
1536978507,1,1
1536980512,0,3
1536984340,3,1
1536986191,0,1
1536988136,0,3
1536990061,0,1
1536994360,1,1
1536996521,1,1
1536998499,2,1
1537000371,4,2
1537002291,0,2
1537004215,1,2
1537006130,1,1
1537008055,2,0
1537009964,1,0
1537011884,0,1
1537013847,1,0
1537021715,1,0
1537025564,1,0
1537029647,1,0
1537031590,1,1
1537033476,2,0
1537035430,1,1
1537037303,1,1
1537039261,1,0
1537041166,1,1
1537043088,1,0
1537046946,1,1
1537048937,1,0
1537050780,0,1
1537052685,2,1
1537056546,1,1
1537058456,2,1
1537060356,1,1
1537062294,3,3
1537064204,0,2
1537066115,1,0
1537068051,1,0
1537069955,0,1
1537071891,0,2
1537079574,2,1
1537083530,0,1
1537085347,0,2
1537087245,2,4
1537089168,3,0
1537091357,0,1
1537093262,1,2
1537095152,1,2
1537100938,1,1
1537106712,573,0
1537108632,0,1
1537114407,0,1
1537116285,0,1
1537120357,1,2
1537122260,2,2
1537124515,2,0
1537126359,2,2
1537128331,1,0
1537130191,0,1
1537132127,0,2
1537134031,1,0
1537136212,1,1
1537138133,1,0
1537140037,3,2
1537144114,1,2
1537146099,4,1
1537147957,1,3
1537149881,1,1
1537151822,0,1
1537153963,1,0
1537155906,1,0
1537157800,1,0
1537165483,1,0
1537167408,1,3
1537169310,1,0
1537173172,1,3
1537175099,0,3
1537178936,2,1
1537180852,0,1
1537182774,1,1
1537184679,1,0
1537186624,2,0
1537188536,2,1
1537190459,1,0
1537192362,0,573
1537194551,1,0
1537196690,1,0
1537200566,1,0
1537202561,1,0
1537204845,1,0
1537206760,0,1
1537208656,0,1
1537210599,1,2
1537212546,0,1
1537214497,0,1
1537216368,1,0
1537220214,1,1
1537222128,2,1
1537224289,1,0
1537226215,1,3
1537228133,0,1
1537232471,2,3
1537234352,1,1
1537236281,0,1
1537238176,2,0
1537240129,1,0
1537243947,3,2
1537249695,1,0
1537251633,1,2
1537253562,0,1
1537255476,3,1
1537257398,1,0
1537259317,1,0
1537261300,3,0
1537263171,0,2
1537265124,3,1
1537266975,1,1
1537268938,0,1
1537271083,1,1
1537273010,0,1
1537275159,3,3
1537277073,2,0
1537279006,1,1
1537281156,3,2
1537283059,1,0
1537285254,4,1
1537290124,3,1
1537291977,1,1
1537293905,2,1
1537295788,3,0
1537297723,1,0
1537299621,1,0
1537301565,0,1
1537303491,2,1
1537307310,0,3
1537309250,1,1
1537311165,3,1
1537313086,0,2
1537314989,2,0
1537317167,1,0
1537319074,0,2
1537320979,2,1
1537322923,0,1
1537324853,1,2
1537328665,0,1
1537330602,3,3
1537334436,3,0
1537336350,2,1
1537338279,3,0
1537340210,1,0
1537342373,1,3
1537344265,1,0
1537346073,1,3
1537347882,1,1
1537349791,1,1
1537351732,0,4
