DateTime,Entries,UniqueIPs
1537038870,28770,28770
1537040083,28779,28779
1537042232,28757,28757
1537043434,28702,28702
1537044938,28720,28720
1537046070,28750,28750
1537046903,28795,28795
1537048234,28874,28874
1537049672,28862,28862
1537050508,28881,28881
1537052127,28784,28784
1537053332,28747,28747
1537054110,28766,28766
1537054947,28707,28707
1537056861,28651,28651
1537058428,28625,28625
1537059393,28646,28646
1537061312,28602,28602
1537062940,28565,28565
1537064069,28573,28573
1537065656,28495,28495
1537067124,28378,28378
1537068518,28414,28414
1537071035,28289,28289
1537072113,28316,28316
1537074333,28230,28230
1537074863,28245,28245
1537076122,28210,28210
1537078229,28180,28180
1537079523,28187,28187
1537080926,28210,28210
1537082082,28169,28169
1537083471,28139,28139
1537084592,28148,28148
1537085672,28124,28124
1537086924,28093,28093
1537088185,28154,28154
1537089326,28103,28103
1537090101,28123,28123
1537090939,28045,28045
1537092870,28074,28074
1537094432,28120,28120
1537095724,28093,28093
1537096831,28124,28124
1537097311,28133,28133
1537098985,28080,28080
1537100069,28059,28059
1537101321,27957,27957
1537103122,27935,27935
1537103658,27954,27954
1537105353,27939,27939
1537106180,27989,27989
1537107260,27917,27917
1537108113,27931,27931
1537109779,27879,27879
1537110059,27834,27834
1537111233,27874,27874
1537112430,27863,27863
1537113767,27831,27831
1537114927,27845,27845
1537116330,27834,27834
1537117531,27813,27813
1537119308,27758,27758
1537120782,27567,27567
1537121659,27584,27584
1537122922,27500,27500
1537124127,27490,27490
1537126103,27447,27447
1537127788,27370,27370
1537128858,27332,27332
1537130555,27314,27314
1537131395,27332,27332
1537132534,27325,27325
1537134142,27424,27424
1537134980,27445,27445
1537136136,27400,27400
1537137322,27379,27379
1537138591,27382,27382
1537139676,27354,27354
1537140809,27335,27335
1537143036,27363,27363
1537145130,27333,27333
1537145791,27378,27378
1537147705,27405,27405
1537150227,27404,27404
1537150464,27410,27410
1537151686,27395,27395
1537153534,27389,27389
1537154723,27415,27415
1537155935,27345,27345
1537157660,27374,27374
1537158509,27406,27406
1537160187,27370,27370
1537161332,27385,27385
1537162516,27383,27383
1537164248,27461,27461
1537165832,27471,27471
1537166544,27501,27501
1537168471,27517,27517
1537169303,27563,27563
1537170979,27529,27529
1537172068,27560,27560
1537173632,27628,27628
1537174589,27699,27699
1537175726,27751,27751
1537177232,27753,27753
1537178183,27804,27804
1537180108,27876,27876
1537180950,27806,27806
1537182861,27951,27951
1537183709,28419,28419
1537184551,28890,28890
1537186231,29136,29136
1537188141,29258,29258
1537189257,29293,29293
1537190911,29421,29421
1537191740,29678,29678
1537193018,29738,29738
1537194136,29798,29798
1537195531,29829,29829
1537197258,29890,29890
1537198949,29846,29846
1537199781,29875,29875
1537200059,29841,29841
1537201226,29891,29891
1537202429,29859,29859
1537204462,29900,29900
1537205590,29840,29840
1537206921,29900,29900
1537208130,29875,29875
1537209625,29881,29881
1537210859,29854,29854
1537212029,29900,29900
1537213227,29911,29911
1537213352,29905,29905
1537214460,29882,29882
1537215260,29906,29906
1537216950,29791,29791
1537217781,29805,29805
1537218865,29762,29762
1537219709,29793,29793
1537221386,29821,29821
1537222461,29782,29782
1537223676,29763,29763
1537224149,29768,29768
1537225533,29742,29742
1537226903,29778,29778
1537227758,29736,29736
1537228582,29749,29749
1537229671,29738,29738
1537230926,29715,29715
1537232727,29657,29657
1537234118,29739,29739
1537235781,29655,29655
1537236913,29670,29670
1537238561,29643,29643
1537239877,29637,29637
1537241725,29666,29666
1537242937,29729,29729
1537244131,29733,29733
1537245279,29710,29710
1537246594,29807,29807
1537247724,29849,29849
1537249348,29840,29840
1537250199,29887,29887
1537251270,29911,29911
1537252945,29964,29964
1537253779,30045,30045
1537254865,30085,30085
1537256139,30144,30144
1537257395,30222,30222
1537258529,30235,30235
1537259315,30288,30288
1537260980,30370,30370
1537262059,30353,30353
1537263282,30344,30344
1537264522,30418,30418
1537265736,30432,30432
1537266512,30492,30492
1537268191,30520,30520
1537269265,30564,30564
1537270485,30565,30565
1537271778,30623,30623
1537273705,30695,30695
1537275393,30668,30668
1537276471,30658,30658
1537278038,30719,30719
1537279831,30770,30770
1537281750,30822,30822
1537283129,30858,30858
1537284335,30917,30917
1537286405,30870,30870
1537287629,30927,30927
1537288827,30952,30952
1537290327,30958,30958
1537291832,30974,30974
1537292549,31005,31005
1537294180,31052,31052
1537295333,31120,31120
1537296468,31136,31136
1537296981,31149,31149
1537298131,31167,31167
1537298904,31198,31198
1537300860,31159,31159
1537301672,31235,31235
1537303526,31179,31179
1537304180,31218,31218
1537306112,31251,31251
1537306940,31283,31283
1537308236,31284,31284
1537308864,31292,31292
1537310133,31252,31252
1537311327,31270,31270
1537312459,31280,31280
1537313301,31296,31296
1537314992,31273,31273
1537316915,31231,31231
1537318529,31219,31219
1537319730,31183,31183
1537321222,31147,31147
1537322395,31088,31088
1537323262,31092,31092
1537324955,31080,31080
1537325793,31097,31097
1537326878,31034,31034
1537327709,31075,31075
1537328558,31013,31013
1537330065,31047,31047
1537331443,31084,31084
1537333001,31162,31162
1537334138,31128,31128
1537335767,31074,31074
1537336921,31063,31063
1537338037,31140,31140
1537339232,31120,31120
1537339349,31097,31097
1537340605,31101,31101
1537341925,31191,31191
1537343780,31148,31148
1537345715,31103,31103
1537347396,31065,31065
1537348472,31068,31068
1537349725,31092,31092
1537351168,31091,31091
