DateTime,AddedIPs,RemovedIPs
1534058432,14,0
1534059329,17,0
1534060532,16,0
1534061431,1,0
1534062031,3,0
1534062925,2,0
1534063829,12,0
1534064432,1,0
1534065325,4,0
1534066231,5,0
1534067725,14,0
1534068632,3,0
1534069529,10,0
1534070429,9,0
1534071626,5,0
1534072529,7,0
1534073430,5,0
1534074326,15,0
1534074926,19,0
1534075828,46,0
1534076424,2,0
1534076727,1,0
1534078527,14,0
1534080625,7,0
1534081229,22,0
1534081825,1,0
1534082429,1,0
1534083029,3,0
1534083330,1,0
1534083927,1,0
1534096525,1,0
1534151131,0,0
1534166424,0,1
1534178132,0,2
1534178432,0,3
1534198226,0,1
1534206627,0,1
1534215630,1,0
1534217424,1,0
1534218925,0,1
1534222224,1,0
1534224924,1,0
1534266623,1,0
1534271426,4,0
1534271722,158,0
1534272325,378,0
1534294227,0,1
1534316424,1,0
1534323622,1,0
1534333823,0,3
1534368331,1,0
1534369528,4,0
1534370129,1,0
1534403128,1,0
1534405229,0,1
1534407929,1,0
1534419631,1,0
1534500927,1,0
1534520424,1,0
1534533632,0,1
1534550727,1,0
1534590934,1,0
1534639829,0,2
1534640432,0,1
1534683928,1,0
1534686033,1,0
1534693227,1,0
1534702524,1,0
1534707031,1,0
1534752625,1,0
1534757431,0,1
1534816233,1,0
1534858225,0,1
1534890029,1,6
1534890328,1,3
1534891830,0,11
1534892428,0,21
1534892732,0,5
1534893327,0,16
1534895430,0,3
1534895730,0,5
1534896033,0,4
1534896628,0,3
1534897232,0,202
1534897528,0,44
1534898128,0,64
1534899028,253,0
1534899632,390,0
1534899932,167,0
1534900532,333,0
1534900833,187,0
1534901432,471,0
1534902032,184,0
1534907434,1,0
1534917627,1,0
1534926928,0,1
1534929333,1,0
1534935031,1,0
1534936231,0,1
1534938330,0,1
1534938632,1,0
1534957824,124,0
1534958127,169,0
1534958423,157,0
1534959028,321,2
1534959623,198,1
1534959925,72,0
1534972229,0,1
1534976131,2,0
1534991432,21,0
1534991729,220,0
1534992034,229,0
1534992633,315,0
1534996825,2,0
1534998326,1,0
1535000127,1,0
1535001026,1,0
1535009425,1,0
1535010630,1,0
1535028630,1,0
1535037631,1,0
1535038528,1,0
1535044829,288,0
1535045131,190,0
1535045732,84,0
1535048427,0,1
1535050230,1,0
1535058928,65,0
1535059533,163,0
1535117731,1,0
1535121624,0,1
1535142629,21,0
1535142927,153,0
1535143534,407,0
1535144134,75,0
1535209227,1,0
1535210734,1,0
1535211932,1,0
1535220628,1,0
1535235330,2,0
1535253635,0,1
1535277933,1,0
1535295026,1,0
1535295325,0,1
1535295925,1,0
1535303729,65,0
1535304026,215,0
1535304627,447,0
1535304927,152,0
1535310632,3,0
1535311232,1,0
1535320830,1,0
1535324431,1,0
1535328932,0,1
1535331636,1,0
1535356836,1,0
1535382031,1,0
1535388626,1,0
1535396127,1,0
1535413226,21,0
1535413833,438,0
1535414436,201,0
1535440227,0,1
1535445326,1,0
1535463631,1,0
1535469327,2,0
1535481934,1,0
1535508034,1,0
1535526634,1,0
1535536826,1,0
1535541030,1,0
1535559935,1,0
1535565635,1,0
1535570436,1,0
1535580033,23,0
1535580334,31,0
1535580932,99,0
1535581230,383,0
1535582430,103,0
1535583636,1,0
1535619628,1,0
1535651431,0,1
1535701230,0,1
1535703935,1,0
1535725237,0,1
1535726135,1,0
1535737831,1,0
1535740835,0,2
1535749829,246,0
1535750430,467,0
1535815526,0,1
1535817630,1,0
1535833534,2,0
1535842829,100,0
1535843131,159,0
1535843726,362,0
1535844027,174,0
1535844629,203,0
1535851235,1,0
1535868629,1,0
1535905235,0,1
1535908229,1,0
1535939735,1,0
1535941538,1,0
1535983829,1,0
1536000633,0,1
1536026132,1,0
1536031234,1,0
1536035136,1,0
1536066937,0,1
1536075929,1,0
1536076527,1,0
1536081626,1,0
1536082829,47,0
1536083428,449,0
1536084029,483,0
1536084334,255,0
1536084928,136,0
1536156630,1,0
1536158130,0,1
1536174327,0,2
1536186029,1,0
1536199232,1,0
1536225333,0,1
1536229833,1,0
1536270034,1,0
1536277527,623,0
1536277830,239,0
1536278427,481,0
1536278726,252,0
1536279327,228,0
1536287435,1,0
1536288333,1,0
1536290735,1,0
1536303633,1,0
1536313832,1,0
1536314435,2,0
1536322828,1,0
1536324930,0,1
1536343833,67,0
1536346832,177,0
1536347133,233,0
1536347733,483,0
1536348029,248,0
1536348630,277,0
1536350130,1,0
1536357629,1,0
1536364535,25,0
1536364836,178,0
1536365136,228,0
1536365730,14,0
1536384634,1,0
1536410734,1,0
1536431431,1,0
1536432032,1,0
1536432631,2,0
1536434128,1,0
1536447035,1,0
1536450934,1,0
1536460835,1,0
1536470125,1,0
1536501328,1,0
1536532831,1,0
1536573032,1,0
1536592527,0,1
1536597333,1,0
1536621628,1,0
1536624030,0,3
1536624328,0,4
1536624935,0,10
1536625235,0,7
1536625835,0,13
1536626432,0,6
1536626732,0,3
1536627329,0,4
1536628536,177,0
1536628835,227,0
1536629135,212,0
1536629734,452,0
1536630033,223,0
1536630636,460,0
1536631236,477,0
1536631536,189,0
1536651933,1,0
1536654634,1,0
1536671138,1,0
1536683737,1,0
1536684036,1,0
1536687029,1,0
1536691228,0,1
1536694829,1,0
1536702328,0,1
1536712834,1,0
1536719136,1,0
1536756627,0,1
1536760829,4,0
1536763229,0,1
1536774327,2,0
1536775830,1,0
1536785736,1,0
1536806732,1,0
1536826527,1,0
1536826826,1,0
1536827429,1,0
1536828927,1,0
1536832236,1,0
1536835233,1,0
1536842732,1,0
1536860427,1,0
1536877229,1,0
1536905427,0,1
1536909931,1,0
1536910528,1,0
1536920130,0,1
1536924037,0,1
1536924934,1,0
1536926436,0,1
1536964828,1,0
1536965733,2,0
1536966925,1,0
1536968728,1,0
1536970834,1,0
1536974131,1,0
1536984328,2,0
1536985527,159,0
1536986126,415,7
1536986426,221,0
1536987026,440,0
1536987628,441,0
1536987926,223,0
1536988525,467,0
1536988827,211,0
1536989426,91,0
1536990628,1,0
1537013733,1,0
1537023638,1,0
1537024535,1,0
1537027539,1,0
1537041028,0,1
1537087233,1,0
1537122328,1,0
1537122926,1,0
1537140036,1,0
1537143933,1,0
1537145434,2,0
1537169732,1,0
1537178729,1,0
1537197632,1,0
1537208132,1,0
1537221930,1,0
1537265135,8,0
1537277435,0,3
1537283134,1,0
1537286435,1,0
1537305331,1,0
1537323336,4,0
1537341333,1,0
1537343130,1,0
